"","Year","Month","UnitCode","ParkName","Region","State","RecreationVisits","Smoke","stdsmoke","MAXSmoke","stdsmokeMAX","medSmoke","stdsmokemed","Season","CatColS","CatColM","SeasType"
"80",1980,11,"GUMO","Guadalupe Mountains NP","Intermountain ","TX",10771,1.51535420949718e-09,-0.0591332292784619,4.29503410614984e-09,-0.0791526771543872,1.23350263336874e-09,-0.0430123444061681,"Fall","GUMOFall","GUMO11","Shoulder"
"81",1980,11,"JOTR","Joshua Tree NP","Pacific West ","CA",56367,1.03340307458242e-09,-0.136896008777444,3.46090156533307e-09,-0.0989283288691913,8.32089452895701e-10,-0.154812509652816,"Fall","JOTRFall","JOTR11","Shoulder"
"82",1980,11,"KICA","Kings Canyon NP","Pacific West ","CA",40740,3.46273059061556e-10,-0.247764385285223,1.34909639015746e-09,-0.14899510074324,2.65967442514281e-10,-0.31248678989399,"Fall","KICAFall","KICA11","Shoulder"
"83",1980,11,"LAVO","Lassen Volcanic NP","Pacific West ","CA",10080,5.45277782603912e-10,-0.215654988055944,1.11806841562867e-09,-0.154472322332251,5.20075926768726e-10,-0.241713402491156,"Fall","LAVOFall","LAVO11","Shoulder"
"84",1980,11,"MEVE","Mesa Verde NP","Intermountain ","CO",7245,1.09370265353253e-09,-0.127166676232956,8.00136135126195e-09,0.00871709551825912,6.62542798401944e-10,-0.202034038270986,"Fall","MEVEFall","MEVE11","Shoulder"
"85",1980,11,"MORA","Mount Rainier NP","Pacific West ","WA",63496,7.07720909653986e-10,-0.189444801680609,5.29900257006943e-09,-0.0553505477521703,5.82829062789614e-10,-0.224235623190006,"Fall","MORAFall","MORA11","Shoulder"
"86",1980,11,"NOCA","North Cascades NP","Pacific West ","WA",37888,4.66305809377862e-10,-0.228397110017464,4.38806679881054e-09,-0.0769470539013404,3.35550531804785e-10,-0.293106756403603,"Fall","NOCAFall","NOCA11","Shoulder"
"87",1980,11,"OLYM","Olympic NP","Pacific West ","WA",57966,2.22438568639729e-09,0.0552689463814681,5.33428368143518e-09,-0.0545141015804419,1.9867205658386e-09,0.166771223780688,"Fall","OLYMFall","OLYM11","Shoulder"
"88",1980,11,"PEFO","Petrified Forest NP","Intermountain ","AZ",27597,1.55926612840112e-09,-0.0520480444542613,9.66544089209265e-09,0.0481691679586602,9.81338232897144e-10,-0.113244272537735,"Fall","PEFOFall","PEFO11","Shoulder"
"89",1980,11,"PINN","Pinnacles NP","Pacific West ","CA",13003,1.33135872040153e-09,-0.0888208876546227,2.80983081246688e-09,-0.114363943499175,1.27726573762033e-09,-0.0308236009242818,"Fall","PINNFall","PINN11","Shoulder"
"90",1980,11,"REDW","Redwood NP","Pacific West ","CA",20664,5.18298873353912e-10,-0.220008033041515,1.96888549908181e-09,-0.134301112731796,4.50714604527391e-10,-0.261031670215123,"Fall","REDWFall","REDW11","Shoulder"
"91",1980,11,"ROMO","Rocky Mountain NP","Intermountain ","CO",51344,1.33289412303094e-09,-0.0885731505554372,8.63049454125075e-09,0.0236326134229552,8.56282489358762e-10,-0.148074351550481,"Fall","ROMOFall","ROMO11","Shoulder"
"92",1980,11,"SAGU","Saguaro NP","Intermountain ","AZ",40028,2.76899702450305e-09,0.14314194496929,9.4194465560804e-09,0.0423371231998869,1.89978521802914e-09,0.142558301226878,"Fall","SAGUFall","SAGU11","Shoulder"
"93",1980,11,"SEQU","Sequoia NP","Pacific West ","CA",38554,3.94046467050972e-10,-0.240056149486478,1.37641786857046e-09,-0.148347361906795,3.3074717964432e-10,-0.294444568890589,"Fall","SEQUFall","SEQU11","Shoulder"
"94",1980,11,"YELL","Yellowstone NP","Intermountain ","WY",25773,3.50410653450528e-10,-0.247096784740652,1.33850852623851e-09,-0.149246118296229,2.77048495256338e-10,-0.309400534663883,"Fall","YELLFall","YELL11","Shoulder"
"95",1980,11,"YOSE","Yosemite NP","Pacific West ","CA",118024,4.95675849827714e-10,-0.223658256191999,1.88493531894096e-09,-0.136291407370385,4.31066266015634e-10,-0.266504055276939,"Fall","YOSEFall","YOSE11","Shoulder"
"96",1980,11,"ZION","Zion NP","Intermountain ","UT",32542,7.60338093561399e-10,-0.180955023000508,4.23448476283284e-09,-0.080588183703292,3.47909950848546e-10,-0.289664455157249,"Fall","ZIONFall","ZION11","Shoulder"
"97",1980,12,"ARCH","Arches NP","Intermountain ","UT",5625,5.58262947518563e-10,-0.21355983267013,1.75671521773779e-09,-0.139331255284421,3.78912928811204e-10,-0.281029616472384,"Winter","ARCHWinter","ARCH12","Low"
"98",1980,12,"BIBE","Big Bend NP","Intermountain ","TX",6954,5.16833132026318e-09,0.530274353773639,2.03989500846546e-08,0.302639685631918,3.59285046158675e-09,0.614104785525267,"Winter","BIBEWinter","BIBE12","Shoulder"
"99",1980,12,"BLCA","Black Canyon of the Gunnison NP","Intermountain ","CO",3113,4.75587674976563e-10,-0.226899481698737,1.99802463463072e-09,-0.133610280798394,3.23154725201391e-10,-0.296559192183095,"Winter","BLCAWinter","BLCA12","Low"
"100",1980,12,"BRCA","Bryce Canyon NP","Intermountain ","UT",7666,3.57285737733766e-10,-0.2459874904068,1.12074449720723e-09,-0.154408877670079,2.43850356573816e-10,-0.318646761671709,"Winter","BRCAWinter","BRCA12","Low"
"101",1980,12,"CANY","Canyonlands NP","Intermountain ","UT",831,5.44974169734299e-10,-0.215703975969702,1.7043361166813e-09,-0.140573061363121,3.78847342386024e-10,-0.281047883369262,"Winter","CANYWinter","CANY12","Low"
"102",1980,12,"CARE","Capitol Reef NP","Intermountain ","UT",3512,3.55680420152391e-10,-0.246246508278246,9.76033587285485e-10,-0.157839690417347,2.78076173199082e-10,-0.309114309473959,"Winter","CAREWinter","CARE12","Low"
"103",1980,12,"CAVE","Carlsbad Caverns NP","Intermountain ","NM",31217,2.85185025773782e-09,0.156510307942338,1.37307880621051e-08,0.144550601124197,1.75660797019361e-09,0.102681085564181,"Winter","CAVEWinter","CAVE12","Low"
"104",1980,12,"CHIS","Channel Islands NP","Pacific West ","CA",3524,3.26528709626572e-09,0.22321831085406,7.37666017158745e-09,-0.00609334808699028,3.21051163432173e-09,0.507617141003814,"Winter","CHISWinter","CHIS12","Low"
"105",1980,12,"CRLA","Crater Lake NP","Pacific West ","OR",9987,3.00211499029433e-10,-0.255196414544353,6.91337986857832e-10,-0.164589266489852,2.72131372991424e-10,-0.310770033993994,"Winter","CRLAWinter","CRLA12","Low"
"106",1980,12,"DEVA","Death Valley NP","Pacific West ","CA",36630,8.23738218317275e-10,-0.170725417622629,1.85509663186423e-09,-0.136998824302806,7.50360107382164e-10,-0.177575475042109,"Winter","DEVAWinter","DEVA12","Low"
"107",1980,12,"GLAC","Glacier NP","Intermountain ","MT",4391,2.62506141823771e-10,-0.261280171103683,4.12153977613627e-10,-0.17120817351121,2.60976545929381e-10,-0.313876836584194,"Winter","GLACWinter","GLAC12","Low"
"108",1980,12,"GRBA","Great Basin NP","Pacific West ","NV",424,2.39414693939131e-10,-0.265005974489296,9.22309950635025e-10,-0.159113372806254,1.87595591838452e-10,-0.334314637813478,"Winter","GRBAWinter","GRBA12","Low"
"109",1980,12,"GRCA","Grand Canyon NP","Intermountain ","AZ",89632,6.82040782274568e-10,-0.193588288308698,2.28243335342881e-09,-0.126867506128439,4.24786483765871e-10,-0.268253077798843,"Winter","GRCAWinter","GRCA12","Low"
"110",1980,12,"GRSA","Great Sand Dunes NP & PRES","Intermountain ","CO",3255,6.66212658516665e-10,-0.196142154890807,2.13749262734098e-09,-0.130303767367687,5.63065094549842e-10,-0.229740213030659,"Winter","GRSAWinter","GRSA12","Low"
"111",1980,12,"GRTE","Grand Teton NP","Intermountain ","WY",49975,3.10748996875056e-10,-0.253496190056687,6.54901521901508e-10,-0.165453103836359,2.46410725157631e-10,-0.31793365695894,"Winter","GRTEWinter","GRTE12","Low"
"112",1980,12,"GUMO","Guadalupe Mountains NP","Intermountain ","TX",7644,2.84936867469841e-09,0.15610990470491,1.27816051076479e-08,0.12204732903917,1.17893017570481e-09,-0.0582116703913119,"Winter","GUMOWinter","GUMO12","Low"
"113",1980,12,"JOTR","Joshua Tree NP","Pacific West ","CA",47984,1.00496639594335e-09,-0.14148426474469,2.97528579551454e-09,-0.110441329335213,8.07561184590355e-10,-0.161644035330473,"Winter","JOTRWinter","JOTR12","Shoulder"
"114",1980,12,"KICA","Kings Canyon NP","Pacific West ","CA",26653,2.25392901027776e-10,-0.267268389724689,4.76573835950234e-10,-0.169680904618506,2.18636830862096e-10,-0.325669142794569,"Winter","KICAWinter","KICA12","Low"
